/Users/zhaoqianxue/anaconda3/lib/python3.11/site-packages/pandas/core/arrays/masked.py:61: UserWarning: Pandas requires version '1.3.6' or newer of 'bottleneck' (version '1.3.5' currently installed).
  from pandas.core import (
[*] Detected total rows: 304391
[*] Total Target Rows: 304391
[*] Remaining Batches: 3044 (Batch Size: 100)
[*] Parallel Workers: 10
--------------------------------------------------

[+] PROGRESS:   2.56% | Batches Done: 78/3044 | ETA: 33.3 min
[+] PROGRESS:   2.60% | Batches Done: 79/3044 | ETA: 33.3 min
[+] PROGRESS:   2.63% | Batches Done: 80/3044 | ETA: 33.2 min
[+] PROGRESS:   2.66% | Batches Done: 81/3044 | ETA: 33.3 min
[+] PROGRESS:   2.69% | Batches Done: 82/3044 | ETA: 33.1 min
[+] PROGRESS:   2.73% | Batches Done: 83/3044 | ETA: 33.0 min
[+] PROGRESS:   2.76% | Batches Done: 84/3044 | ETA: 33.0 min
[+] PROGRESS:   2.79% | Batches Done: 85/3044 | ETA: 32.9 min
[+] PROGRESS:   2.83% | Batches Done: 86/3044 | ETA: 33.3 min
[+] PROGRESS:   2.86% | Batches Done: 87/3044 | ETA: 33.3 min
[+] PROGRESS:   2.89% | Batches Done: 88/3044 | ETA: 33.2 min
[+] PROGRESS:   2.92% | Batches Done: 89/3044 | ETA: 33.1 min
[+] PROGRESS:   2.96% | Batches Done: 90/3044 | ETA: 33.1 min
[+] PROGRESS:   2.99% | Batches Done: 91/3044 | ETA: 33.0 min
[+] PROGRESS:   3.02% | Batches Done: 92/3044 | ETA: 32.9 min
[+] PROGRESS:   3.06% | Batches Done: 93/3044 | ETA: 32.9 min
[+] PROGRESS:   3.09% | Batches Done: 94/3044 | ETA: 32.8 min
[+] PROGRESS:   3.12% | Batches Done: 95/3044 | ETA: 33.2 min
[+] PROGRESS:   3.15% | Batches Done: 96/3044 | ETA: 33.1 min
[+] PROGRESS:   3.19% | Batches Done: 97/3044 | ETA: 33.0 min
[+] PROGRESS:   3.22% | Batches Done: 98/3044 | ETA: 33.0 min
[+] PROGRESS:   3.25% | Batches Done: 99/3044 | ETA: 33.0 min
[+] PROGRESS:   3.29% | Batches Done: 100/3044 | ETA: 32.9 min
[+] PROGRESS:   3.32% | Batches Done: 101/3044 | ETA: 32.9 min
[+] PROGRESS:   3.35% | Batches Done: 102/3044 | ETA: 32.8 min
[+] PROGRESS:   3.38% | Batches Done: 103/3044 | ETA: 32.8 min
[+] PROGRESS:   3.42% | Batches Done: 104/3044 | ETA: 32.7 min
[+] PROGRESS:   3.45% | Batches Done: 105/3044 | ETA: 33.0 min
[+] PROGRESS:   3.48% | Batches Done: 106/3044 | ETA: 32.7 min
[+] PROGRESS:   3.52% | Batches Done: 107/3044 | ETA: 32.4 min
[+] PROGRESS:   3.55% | Batches Done: 108/3044 | ETA: 32.1 min
[+] PROGRESS:   3.58% | Batches Done: 109/3044 | ETA: 31.8 min
[+] PROGRESS:   3.61% | Batches Done: 110/3044 | ETA: 31.7 min
[+] PROGRESS:   3.65% | Batches Done: 111/3044 | ETA: 31.5 min
[+] PROGRESS:   3.68% | Batches Done: 112/3044 | ETA: 31.3 min
[+] PROGRESS:   3.71% | Batches Done: 113/3044 | ETA: 31.0 min
[+] PROGRESS:   3.75% | Batches Done: 114/3044 | ETA: 30.8 min
[+] PROGRESS:   3.78% | Batches Done: 115/3044 | ETA: 30.7 min
[+] PROGRESS:   3.81% | Batches Done: 116/3044 | ETA: 30.5 min
[+] PROGRESS:   3.84% | Batches Done: 117/3044 | ETA: 30.2 min
[+] PROGRESS:   3.88% | Batches Done: 118/3044 | ETA: 30.1 min
[+] PROGRESS:   3.91% | Batches Done: 119/3044 | ETA: 30.0 min
[+] PROGRESS:   3.94% | Batches Done: 120/3044 | ETA: 29.7 min
[+] PROGRESS:   3.98% | Batches Done: 121/3044 | ETA: 29.5 min
[+] PROGRESS:   4.01% | Batches Done: 122/3044 | ETA: 29.3 min
[+] PROGRESS:   4.04% | Batches Done: 123/3044 | ETA: 29.1 min
[+] PROGRESS:   4.07% | Batches Done: 124/3044 | ETA: 29.0 min
[+] PROGRESS:   4.11% | Batches Done: 125/3044 | ETA: 28.8 min
[+] PROGRESS:   4.14% | Batches Done: 126/3044 | ETA: 28.6 min
[+] PROGRESS:   4.17% | Batches Done: 127/3044 | ETA: 28.4 min
[+] PROGRESS:   4.20% | Batches Done: 128/3044 | ETA: 28.4 min
[+] PROGRESS:   4.24% | Batches Done: 129/3044 | ETA: 28.1 min
[+] PROGRESS:   4.27% | Batches Done: 130/3044 | ETA: 28.0 min
[+] PROGRESS:   4.30% | Batches Done: 131/3044 | ETA: 27.9 min
[+] PROGRESS:   4.34% | Batches Done: 132/3044 | ETA: 27.8 min
[+] PROGRESS:   4.37% | Batches Done: 133/3044 | ETA: 27.6 min
[+] PROGRESS:   4.40% | Batches Done: 134/3044 | ETA: 27.5 min
[+] PROGRESS:   4.43% | Batches Done: 135/3044 | ETA: 27.3 min
[+] PROGRESS:   4.47% | Batches Done: 136/3044 | ETA: 27.2 min
[+] PROGRESS:   4.50% | Batches Done: 137/3044 | ETA: 27.1 min
[+] PROGRESS:   4.53% | Batches Done: 138/3044 | ETA: 27.0 min
[+] PROGRESS:   4.57% | Batches Done: 139/3044 | ETA: 26.9 min
[+] PROGRESS:   4.60% | Batches Done: 140/3044 | ETA: 26.8 min
[+] PROGRESS:   4.63% | Batches Done: 141/3044 | ETA: 26.7 min
